NAME,SAEPOVRTALL_RATE,Location,Latitude,Longitude
Hardee County,31.8,"27.450173,-81.822436",27.450173,-81.822436
Hendry County,29.6,"26.610532,-81.075466",26.610532,-81.075466
Hernando County,16.6,"28.557883,-82.475276",28.557883,-82.475276
Highlands County,18.8,"27.340029,-81.340027",27.340029,-81.340027
Hillsborough County,17.6,"27.99036,-82.301773",27.99036,-82.301773
Holmes County,26.1,"30.874081,-85.80766",30.874081,-85.80766
Indian River County,13.9,"27.694773,-80.543845",27.694773,-80.543845
Jackson County,20.5,"30.715088,-85.189405",30.715088,-85.189405
Jefferson County,18.7,"30.431198,-83.889706",30.431198,-83.889706
Lafayette County,23.8,"30.029957,-83.207764",30.029957,-83.207764
Lake County,13.9,"28.702847,-81.778702",28.702847,-81.778702
Lee County,15.3,"26.663029,-81.953482",26.663029,-81.953482
Leon County,22.7,"30.490618,-84.185712",30.490618,-84.185712
Levy County,22,"29.317855,-82.820974",29.317855,-82.820974
Liberty County,23.5,"30.150778,-84.856793",30.150778,-84.856793
Madison County,25.9,"30.458633,-83.50702",30.458633,-83.50702
Manatee County,15.9,"27.47992,-82.345189",27.47992,-82.345189
Marion County,17.6,"29.278777,-82.12784",29.278777,-82.12784
Martin County,12.7,"27.080494,-80.410396",27.080494,-80.410396
Miami-Dade County,20.9,"25.551603,-80.632692",25.551603,-80.632692
Monroe County,13.8,"24.5557,-81.782598",24.5557,-81.782598
Nassau County,11.4,"30.592733,-81.822436",30.592733,-81.822436
Okaloosa County,13.7,"30.57734,-86.661108",30.57734,-86.661108
Okeechobee County,26.1,"27.346202,-80.89865",27.346202,-80.89865
Orange County,18.5,"28.4845,-81.251883",28.4845,-81.251883
Osceola County,16,"28.101984,-81.075466",28.101984,-81.075466
Palm Beach County,15.8,"26.65145,-80.276733",26.65145,-80.276733
Pasco County,15.7,"28.323242,-82.43194",28.323242,-82.43194
Pinellas County,15,"27.876394,-82.777858",27.876394,-82.777858
Polk County,19.2,"27.861735,-81.691156",27.861735,-81.691156
Putnam County,27.9,"29.626516,-81.778702",29.626516,-81.778702
Santa Rosa County,11.3,"30.768991,-86.982429",30.768991,-86.982429
Sarasota County,11.7,"27.199599,-82.345189",27.199599,-82.345189
Seminole County,11.5,"28.713169,-81.207816",28.713169,-81.207816
St. Johns County,9.4,"29.971942,-81.427898",29.971942,-81.427898
St. Lucie County,20.3,"27.273049,-80.358226",27.273049,-80.358226
Sumter County,14.5,"28.674753,-82.08429",28.674753,-82.08429
Suwannee County,24.7,"30.24851,-82.993161",30.24851,-82.993161
Taylor County,22.7,"30.099377,-83.677393",30.099377,-83.677393
Union County,25.3,"30.074511,-82.345189",30.074511,-82.345189
Volusia County,17.4,"29.027984,-81.075466",29.027984,-81.075466
Wakulla County,14.6,"30.130169,-84.354205",30.130169,-84.354205
Walton County,14.3,"30.56402,-86.175176",30.56402,-86.175176
Washington County,24.3,"30.548737,-85.684578",30.548737,-85.684578
Appling County,21.1,"31.712238,-82.25833",31.712238,-82.25833
Atkinson County,31.4,"31.293216,-82.864062",31.293216,-82.864062
Bacon County,24.5,"31.541209,-82.43194",31.541209,-82.43194
Baker County,28.4,"31.281604,-84.480261",31.281604,-84.480261
Baldwin County,29.2,"33.033808,-83.293409",33.033808,-83.293409
Banks County,19,"34.378542,-83.464355",34.378542,-83.464355
Barrow County,15.6,"34.014267,-83.698657",34.014267,-83.698657
Bartow County,19.1,"34.266047,-84.815078",34.266047,-84.815078
Ben Hill County,29.4,"31.766404,-83.207764",31.766404,-83.207764
Berrien County,24,"31.311854,-83.207764",31.311854,-83.207764
Bibb County,25.4,"32.786574,-83.719914",32.786574,-83.719914
Bleckley County,21.7,"32.408785,-83.378939",32.408785,-83.378939
Brantley County,22.3,"31.151096,-81.997111",31.151096,-81.997111
Brooks County,29.8,"30.873016,-83.549657",30.873016,-83.549657
Bryan County,12.2,"32.023658,-81.471839",32.023658,-81.471839
Bulloch County,31,"32.359568,-81.778702",32.359568,-81.778702
Burke County,31,"33.088805,-81.953482",33.088805,-81.953482
Butts County,20.2,"33.269144,-83.953257",33.269144,-83.953257
Calhoun County,40.5,"31.562178,-84.647912",31.562178,-84.647912
Camden County,14.7,"30.898276,-81.603506",30.898276,-81.603506
Candler County,27.3,"32.42418,-82.08429",32.42418,-82.08429
Carroll County,19.5,"33.564224,-85.064907",33.564224,-85.064907
Catoosa County,14.4,"34.898173,-85.147936",34.898173,-85.147936
Charlton County,32.6,"30.791736,-82.08429",30.791736,-82.08429
Chatham County,22.5,"31.999419,-81.119608",31.999419,-81.119608
Chattahoochee County,20.2,"32.295227,-84.815078",32.295227,-84.815078
